M1,M2,M3,qin,qout,gw_kick_random,gw_kick_5deg,gw_kick_hybrid,t_triple_form,z_merger,a_2nd_ovtks,bin_merger_flag,strong_key,bhid1,bhid2,bhid3,bhid4,f-gas,Vescape
16574898.187490394,3162851.908040397,9350889.57329892,0.1908218000655655,0.4737566099499982,782.5574075104381,88.82068678862149,160.53285995656591,2027001493.3185177,0.751803686957724,423.62231692525495,Yes,False,9223372036815257642,9223372036911134467,9223372036471100915,9223372036911134467,0.6726505063454549,947.9849577067506
63695385.722534694,28420173.53117576,1382047.2161211078,0.4461888912169823,0.0150034068871534,1175.175468369251,193.0304795533964,184.84214154550963,2493908986.7396994,0.19719525557744,488.3571759761224,Yes,False,3087267141401872192,9223372037104936529,9223372037104936529,9223372038294454871,0.7201222707964886,1179.966487293436
82061150.46618332,3848296.120344303,4570461.739449014,0.046895468787391,0.0532009216803144,23.479962745654753,17.891785542547918,14.100204352169259,2068893136.9877353,0.1404167457206693,757.51449073673,Yes,False,9223372037254497425,9223372038174006630,9223372037019141990,9223372038174006630,0.699752036647537,1801.5026936731083
444044855.1987194,2512954.257848682,1887394.395983444,0.0056592351615561,0.0042265398925175,0.48583200669419424,0.23923281389138165,0.35229348481478306,9292116498.702318,0.0,216.1962880442113,No,False,9223372037046953439,9223372039116183002,9223372039116183002,9223372039218166757,0.3138755531450157,2794.1392079812467
143858957.61846504,3642720.709746328,2377589.82265183,0.0253214729902836,0.0161190696241528,5.499967294161936,7.341272728146222,11.089012043955362,2096854861.9040928,1.3360065928838207,360.4328882330778,Yes,False,9223372036662072404,9223372037986650182,9223372037471155273,9223372037986650182,0.4722133045801608,1696.0700902056478
28414059.181953005,21410784.256796468,24849159.244698964,0.753527826478076,0.4987303025898407,1186.3796742048335,315.2041905269056,656.1404654662389,2001368004.6419656,0.0,939.7352655953569,No,False,9223372036555270954,9223372036961716814,9223372036961716814,9223372037317141440,0.5580315722920512,806.4287023672438
65840701.62912144,50316586.04772471,12138116.344766011,0.7642170390460968,0.1044972432425824,247.01314662435374,62.67493063565969,159.64493367011096,9487490193.144203,0.0,518.9209104230423,No,False,9223372037122708204,9223372037488019122,9223372037488019122,9223372041494953315,0.8321627781786727,972.4265140171334
204368854.924394,16721778.794341983,10122691.76434334,0.0818215613163179,0.045785258263003,149.8412405062098,45.477643405986356,211.14627894099516,2495918075.082247,0.7572971756855581,186.1698929949924,Yes,False,9223372036436920400,9223372036611262616,9223372036611262616,9223372037072035651,0.297557446071922,2163.339993900426
7990441.187730065,4289721.068187856,85710925.95892555,0.5368565974523474,6.979624875690929,364.1472481720781,102.11345262987238,394.5285254931249,2056530163.7189217,1.9242039466054883,1103.5966347793808,Yes,False,9223372036555418049,9223372037130440477,9223372036614807704,9223372037130440477,0.5668480102314462,661.4222501167242
19712046.12167667,2624506.553071425,5789560.15716283,0.1331422692941725,0.2591966737870003,318.2098088903684,73.35152706315964,98.97282184241855,2183276788.725877,0.0,1296.9071166581373,No,False,7088310580147864500,9223372036957178186,9223372036911756746,9223372036957178186,0.4995691741119188,1346.3514004322117
5075279.205662542,4908490.720352387,1745405.2861555994,0.967137081813338,0.1748242696987196,277.2036651099766,104.09254580375023,317.46517382756633,2162940420.095999,0.0,171.51910637289276,No,False,9223372037287347385,9223372037432271035,9223372037432271035,9223372037523858306,0.780970498391972,1079.4264516599096
68014878.04689679,4559179.685922431,46539454.85491408,0.0670320938130454,0.6412684684966727,84.75610747559114,68.14834591271062,66.50160727652492,2778194066.040503,0.0,883.9901272992569,No,False,9223372036609628743,9223372037717883857,9223372036820333678,9223372037717883857,0.623104266077747,1397.742502432449
116516076.01110084,32199730.618968785,11774105.05950479,0.2763544029400803,0.0791718468016843,225.11942696132752,129.83794476854035,95.96923925494308,3460697512.1538625,0.0,659.9420810379173,No,False,9223372036321716890,9223372036507725669,9223372036507725669,9223372037643664639,0.3627741671408747,1662.0219591478208
336817242.5110085,7722548.861231081,3187306897.508667,0.0229280092778465,9.250910859422657,7.517462608739461,5.561383399513143,8.648202674564635,5044484078.68918,0.0,975.423576691004,No,False,9223372037505950721,9223372037786592201,9223372037786592201,9223372052901399403,0.3039360045706182,2300.6605065526905
83083172.76383728,34864776.65411206,234495746.1977324,0.4196370395388569,1.988129063327715,335.216151220489,103.93996297725101,209.00785656324098,4627642824.642157,0.0,933.5025773218716,No,False,9223372037218785000,9223372037580615675,9223372037580615675,9223372041833615180,0.7082346778265775,943.9057038613636
114353449.25285804,4730526.64636221,10254144.2285574,0.0413675903723907,0.0861085141903172,20.387115547372055,10.415911727827433,41.63335359863213,3589305298.5851827,0.2822673395770033,389.7258318478783,Yes,False,8223307042893958708,9223372038512439136,8220431492420689314,9223372038512439136,0.4986917353111998,1310.2152525603374
367032786.4727279,2195700.403731139,3977569.518873741,0.0059823004501378,0.0107726507034236,1.0834277761161941,0.4687825799378629,0.3926713279057749,2133507694.5288217,1.0200317787241395,442.4104210516966,Yes,False,9223372037882601812,9223372038309779625,9223372037475872349,9223372038309779625,0.264039549529634,2902.658063921427
27647767.815540385,7095330.061167013,15086715.677897634,0.256633016759452,0.4342363404505771,1384.963855489352,157.73616271286087,152.68175722062134,2252534546.8415875,1.2140474508247072,909.0117482938164,Yes,False,9223372036483023932,9223372037269289059,9223372037269289059,9223372037401054011,0.5938488829388606,1286.7523565471415
32680579.132331967,2964239.7638841933,2529746.3694870486,0.0907034037518501,0.0709709418598165,69.74304835944808,35.82143695315417,261.24016250393737,3027794554.428387,0.0,963.7119110662992,No,False,9223372036996788191,9223372037932573334,9223372037762445543,9223372037932573334,0.5252885005003018,1513.8600251462078
274445076.90635645,238654063.65755197,63952752.76645449,0.8695877016550865,0.1246401478984526,1088.6552417398682,30.245341601968192,505.064214331872,2414753666.70596,0.0,157.34355409424288,No,False,9223372036471100915,9223372036911134467,9223372036639888014,9223372036911134467,0.5474391833602077,852.3816268755783
25173536.636700027,2930338.476840021,2562165.725196317,0.1164055142163829,0.0911677024910312,435.3462416631704,53.64699716151041,73.48610183710255,2536832086.2504683,1.3740348136903753,843.068600422916,Yes,False,9223372036818162414,9223372036993840405,9223372036993840405,9223372037986454195,0.7260538501630411,1165.0333970424754
34374506.08659334,30672382.184635155,2678154.0289340736,0.8923003026535973,0.0411726694406483,324.79539533395103,181.28234762171837,251.54012727113417,2338045051.678929,0.0,597.4606676657509,No,False,9223372036915836720,9223372037532194752,7571035170221474224,9223372037532194752,0.7936031528724733,1213.711014589407
181823096.75689387,1457735.5989439434,7008189.9639531225,0.0080173290684461,0.0382374407289181,0.9645210973859889,0.6205182341186547,0.7028569571521515,2057572541.0453792,0.0,539.4336956061913,No,False,9223372037494452148,9223372038007242864,9223372037336745861,9223372038007242864,0.5260322615016365,2544.246024303737
