M1,M2,t_merger,Merger,Type,GW-kick-random,GW-kick-aligned
29580113636.363636,1143551136.3636365,5697546272.796314,Yes,iso,62.39359218516945,25.45833392842277
2050724431.8181815,1200535511.3636365,1325362394.0855722,Yes,iso,554.1943258526726,190.43035953318494
4308366477.272727,1402903409.0909092,1342415519.400763,Yes,iso,171.2572975046907,186.09160014623373
15588636363.636366,2439417613.636364,4709480240.285296,Yes,iso,176.57053439576222,196.0177764701415
11417926136.363638,8705340909.09091,1439256577.7958496,Yes,iso,1215.0824789716144,341.50551558117064
5716363636.363636,1256815340.909091,1894577010.107686,Yes,iso,591.2212435567292,252.8593213120653
343139204545.4546,31887642045.454544,7228728421.021394,Yes,iso,97.73429258922748,99.61517470577192
52783948863.63637,8207173295.454547,1988184838.4743712,Yes,iso,269.11303475341964,230.09299741795297
2755696022.727273,1225839488.6363635,8118256965.967379,Yes,iso,994.3680603606795,154.7051872357206
40723437500.00001,11831079545.454548,4314479152.259864,Yes,iso,713.3975432192706,383.8756990757729
8242571022.727273,1783735795.4545455,7075005037.127945,Yes,iso,275.5333414712867,93.42634416106468
22807954545.454544,5228366477.272728,6265269903.166337,Yes,iso,359.1640193394777,219.01597553183498
467919034090.9091,5235667613.636364,8919978390.30533,Yes,iso,2.902301598619818,2.589088733841062
3411960227.272727,1398261363.6363635,4103104672.233352,Yes,iso,1776.2181270801543,334.4570536248264
37526136363.63637,3976803977.272727,3071979994.4602222,Yes,iso,290.63441621062344,106.86409948737918
12984019886.363638,3276576704.545455,3125062101.3620796,Yes,iso,773.2733873808558,269.1634925884558
2357514204.5454545,1409632102.2727273,1400501600.1727164,Yes,iso,232.3004732684465,228.7363320133173
4272102272.727273,4079346590.9090905,9237626907.325323,Yes,iso,271.83284773871054,311.57523166124025
6372144886.363636,5710284090.909092,6683284144.95526,Yes,iso,1127.6577792495896,196.4392059867941
17391477272.727276,16502840909.090908,2162792394.9877243,Yes,iso,1334.3256115367942,113.840236274584
20307812500.000004,7123494318.181818,3297537876.8948946,Yes,iso,253.399892516942,213.42000176221728
20491051136.363636,2248508522.727273,3948462650.82886,Yes,iso,81.1383576538703,126.01304350888316
8311747159.090908,1130859375.0000002,1744870703.4590983,Yes,iso,682.3600058662814,73.15320795651647
10092897727.272728,2629133522.727273,11116361962.640392,Yes,iso,379.80401279358404,151.30264439125193
6711548295.454545,1255629261.3636365,1749688337.642203,Yes,iso,199.9290517478764,165.2894157740779
302230113636.36365,17925142045.454548,4717367277.126802,Yes,iso,55.03547257885823,30.68883625629965
51157812500.00001,3313707386.363636,5639706309.184325,Yes,iso,30.70482568211677,25.488196860012522
29211505681.81818,1572301136.3636365,6868416368.1592455,Yes,iso,162.93391262254337,37.050074673644104
12593778409.09091,3441008522.727273,5883422237.79142,Yes,iso,341.2191299534659,172.23592133180017
132557386363.63635,14086931818.181818,12064974236.550056,Yes,iso,195.27426317564573,69.26455240318352
14783664772.727276,1905000000.0,7646787608.66904,Yes,iso,309.21207776977354,151.1242570581055
2737642045.4545455,2626832386.3636365,1789741817.884534,Yes,iso,793.3783833940762,297.4217443822291
10799303977.272728,6609687500.0,3211470348.463685,Yes,iso,785.8093550837611,75.33450730424299
14839346590.909092,4113181818.181818,5795609579.265955,Yes,iso,1121.2119444044995,295.22669457540576
185264204545.45453,2588707386.3636365,10152729305.501968,Yes,iso,8.819446332724812,1.8671539815568776
6743593750.0,3282968750.0000005,9167657055.215528,Yes,iso,313.100256958338,260.24290292853794
5046931818.181819,1832002840.909091,8870450265.515862,Yes,iso,257.51451736147754,143.61753511224416
24889630681.818184,1652230113.6363635,4755172518.104454,Yes,iso,48.658557857896284,38.671741671355065
160373579545.45456,15127840909.09091,4842898772.35237,Yes,iso,50.960860933888526,77.69353714741783
547242897727.2728,77670738636.36363,6213882902.777627,Yes,iso,367.64515898387066,194.24818751714128
20530539772.727272,4658693181.818182,11814459223.048574,Yes,iso,560.5926599159155,231.46879025430243
17125284090.90909,11601818181.818184,2082157396.860824,Yes,iso,400.7186557519877,207.36625232769205
5998096590.909091,1259231534.0909092,10498046526.908625,Yes,iso,534.7503827892394,112.8208212866004
2544375000.0,1253251420.4545455,1872788933.1088693,Yes,iso,532.0668906180368,191.6252630932937
174565340909.0909,3116420454.5454545,5131548881.294072,Yes,iso,11.178006764837548,4.58817769799316
14384232954.545454,10576221590.909092,4503746900.27355,Yes,iso,1261.7059426870098,233.7103354946885
3755653409.090909,1001775568.1818184,7627609411.362136,Yes,iso,643.2037846611126,206.68594930600696
1906093750.0,1151808238.6363635,1834306884.3192604,Yes,iso,1093.4018941498348,294.543666733651
