M1,M2,t_merger,Merger,Type
4.401220973173217e+40,3.486919610611192e+40,335248820212.72394,No,trip
2.0027213377645666e+40,1.2242984156280265e+40,3082904214.4825644,Yes,iso
1.102276706488968e+41,5.089199490651387e+39,82609158771.99754,No,iso
4.54038141966369e+39,2.4651650305479775e+39,21754831747.23917,No,iso
5.14752429722797e+39,3.793117784023657e+39,44684725425.08007,No,iso
1.9165136018647857e+40,1.1726647212441756e+40,214178418857.27402,No,iso
3.7959704743211076e+40,9.300702436814961e+39,73541997706.24774,No,iso
5.6983477247614e+41,3.218343055775002e+39,32511174046.907322,No,iso
2.2392404323274285e+40,3.8027208998764596e+39,27887844696.94405,No,iso
4.747723988709065e+40,4.4087057546467255e+39,1284130162394.6812,No,iso
8.291697405269263e+40,7.268118233194017e+39,60615400357.95019,No,iso
1.9868366543656949e+40,7.91847513209591e+39,2602454524.134317,Yes,iso
2.465309077285769e+40,3.634073238826204e+39,106844884428.6074,No,iso
5.825024120643229e+40,5.83883566079623e+39,72458185724.43913,No,iso
2.0276301256192345e+41,5.09597816066513e+39,48072286615.05279,No,iso
1.7184747574132732e+40,5.874112989326087e+39,9900901225.899302,Yes,iso
1.8081113705616731e+40,1.1535403984679022e+40,14019788372.748999,Yes,iso
3.979531209401599e+41,2.5148724528695895e+39,5745423150.234979,Yes,iso
1.4884999038595128e+40,6.38406668556832e+39,219434981578.09933,No,iso
4.638559157029406e+40,1.3469612739725516e+40,484643317706.96924,No,trip
6.397934714638104e+39,4.849517016748778e+39,7739894071.750608,Yes,trip
2.0612551533332405e+41,3.912535354099103e+39,63388311274.27545,No,iso
3.0150394442794824e+40,1.5326601145532117e+40,107890086520.34834,No,iso
1.6767633412620392e+40,4.009244379628508e+39,1202473385481.943,No,iso
4.826836716661128e+41,2.760280078487973e+40,46921523430.52912,No,trip
3.2501180714644234e+41,5.2226263120885685e+39,7347129762.846671,Yes,trip
1.8730453804016563e+40,9.0443557324619e+39,1992524063.260809,Yes,trip
4.581900773497868e+39,2.627000128234422e+39,614968302004.022,No,iso
2.537818250866111e+40,3.8462173657979805e+39,9147476605.275528,Yes,iso
3.1257577211706236e+41,1.389302541545896e+40,304243356758.10986,No,trip
9.556201807416306e+39,7.274106058372824e+39,1987414715.9952314,Yes,iso
2.896808141456442e+41,2.31256022186358e+40,51408147435.59286,No,iso
1.6778987684893414e+40,2.0202441997500935e+39,573432713090.022,No,iso
1.333494316211915e+40,6.265270493577469e+39,8381466220.583057,Yes,iso
4.1884272236584576e+39,2.1165239095119612e+39,4888856010.66874,Yes,iso
1.9927030283734218e+41,5.641519874479517e+39,4041669458.6444964,Yes,iso
3.5373642132967983e+42,2.4437585555337437e+39,27346028827.286503,No,iso
8.036565212626998e+39,2.996285123908125e+39,160915749950.85437,No,iso
2.2043669995525582e+41,2.802358672598285e+40,78307794349.72581,No,iso
8.086077748185715e+40,2.927029711934381e+39,462655209070.3034,No,iso
3.1064950005482366e+40,4.012464247885036e+39,199094807694.85254,No,iso
6.836486420068909e+40,6.19155245717801e+40,175462011067.7969,No,iso
3.307397833080555e+41,6.887863089881406e+39,113095252323.01761,No,iso
5.57311179625749e+39,3.282655687530392e+39,76584372774.88762,No,trip
3.774052774610004e+40,2.4111757483343506e+39,53389053244.6367,No,iso
9.665818550430213e+40,2.2664963346743553e+40,700079910477.6151,No,iso
1.3104044714776016e+41,2.9498512343139833e+39,126068172873.55707,No,iso
4.4544335327811026e+39,3.4291596932024203e+39,185976665572.6325,No,iso
7.518731312493786e+39,2.2439600813244973e+39,48371649197.05648,No,iso
1.9174230734249627e+40,9.999583315231902e+39,183498117487.55405,No,iso
1.1048413033108343e+40,9.02020672053794e+39,90844051495.4687,No,iso
9.251472345840152e+40,3.7339456436953556e+39,50999370246.81485,No,iso
1.676037458681401e+40,8.636646975593628e+39,2037037528.427024,Yes,iso
5.594916518135031e+40,4.1800103750580594e+39,4404565332.7022505,Yes,iso
5.460444651737397e+39,2.466515115659048e+39,186042784194.27853,No,iso
9.91016135996727e+40,4.942497773770625e+40,58492514638.66723,No,iso
6.946357363208332e+41,4.1543079179226154e+39,17629632681.27689,No,iso
4.1998944737650395e+40,1.0034126287843602e+40,40679826695.73133,No,iso
3.6533924483653727e+39,2.6082034411754794e+39,6585512581.695529,Yes,iso
9.62636104205855e+39,2.921126620130746e+39,7065091630.68635,Yes,trip
2.9447954762620667e+40,2.1306998031782024e+39,9231933203.864832,Yes,trip
7.180560412183166e+39,3.6811285065049386e+39,238465514299.977,No,iso
6.75714773644972e+39,3.77151077335485e+39,15078308703.20382,No,iso
