BH1_ID1,BH1_ID2,BH2_ID1,BH2_ID2,M1_bin_1,M2_bin_1,M1_bin_2,M2_bin_2,t1,t2,tmerger
9.223372036783516e+18,9.223372037442445e+18,9.223372037442445e+18,9.223372038007243e+18,16432197.041652836,2447881.4611804658,626615166.6717997,34962066.98097236,919038401184.6783,8902825584.101656,4901326366.047812
9.223372036910492e+18,9.223372037444192e+18,9.223372037444192e+18,9.223372037516818e+18,22127807.808814567,17531018.6556621,46134603.41765117,6497617.062276939,335248820212.72394,34713636442.42172,6735213693.785275
9.223372036719478e+18,9.223372036982153e+18,9.223372036982153e+18,9.2233720377742e+18,23321061.624079466,6772052.659489953,54752358.30126193,2090700.535137884,484643317706.96924,8710416029.835323,3355436935.8330975
9.22337203718186e+18,9.223372037813447e+18,9.223372037162408e+18,9.223372037813447e+18,3216658.9817185034,2438168.4347655997,63741593.84424825,31537515.153181285,7739894071.750608,5296718917.267059,5280246298.976051
9.223372036444231e+18,9.223372036639888e+18,9.223372036639888e+18,9.223372036911135e+18,242676556.8959843,13877727.895867134,513099140.56390834,63952752.76645449,46921523430.52912,11924768066.452047,2625981237.3488517
9.223372036496643e+18,9.22337203720083e+18,9.22337203720083e+18,9.22337203776315e+18,163404629.03290212,2625754.8074854543,480949591.14394236,3308364.719419095,7347129762.846671,6259280246.965331,4630285740.16217
9.223372037541183e+18,9.223372038007243e+18,9.2233720365568e+18,9.223372038007243e+18,157152223.2866075,6984929.8217490995,166284456.1629238,3462977.923520063,304243356758.10986,113095252323.01761,6819266652.945832
9.223372036571095e+18,9.223372038624705e+18,9.223372037291559e+18,9.223372038624705e+18,14805407.120472934,1071241.7311102073,18249555.40506593,3199504.9818513133,9231933203.864832,6420151778.054148,3886208645.4534955
9.223372037336746e+18,9.223372038007243e+18,9.223372037816844e+18,9.223372038007243e+18,183280832.35583782,7008189.9639531225,507617812.7917763,1642197.2803321397,528826839534.94904,7143114655.416599,3128887169.115718
9.223372036711006e+18,9.22337203710287e+18,9.22337203710287e+18,9.223372041360816e+18,15893720.489530439,1519307.6157206625,89651233.8092136,4171986.250812236,125611743789.17003,17220262094.528893,9489597068.535557
9.223372036663979e+18,9.223372036728586e+18,9.223372036728586e+18,9.22337203727596e+18,10482925.761554338,3234593.9997915677,37118529.24904481,4478784.402410454,101411956943.24806,26286310539.25494,9487553295.207611
9.223372036742215e+18,9.223372037329689e+18,9.223372037329689e+18,9.223372037373417e+18,11842891.462945743,2063109.291974018,40151719.95403807,15983040.571620362,10858975467.114307,5608272208.662599,5483816758.029468
9.2233720372145e+18,9.223372038504225e+18,9.223372038504225e+18,9.22337204537123e+18,1346050.7970289383,1019419.0431008327,151788758.26190737,14678456.161190912,303399926016.56934,12658913154.703808,11936032787.011566
9.223372036876341e+18,9.223372037469676e+18,9.223372036956699e+18,9.223372037469676e+18,2793730.52307237,2428043.598751273,6711885.856975644,2470758.194447058,253417761494.2947,27674831202.64051,2435937646.340942
9.223372037846303e+18,9.223372038039847e+18,9.223372038039847e+18,9.223372039993035e+18,3849269.52814521,3649698.0760479476,1204452196.3040307,39028473.770681486,187819242375.0195,13223367462.591045,7389555543.5357485
9.223372036977127e+18,9.223372037894863e+18,9.223372037527058e+18,9.223372037894863e+18,6755850.081800827,4366942.595329336,17698014.548408918,1415551.4771199895,29624756523.3539,23742288285.76987,12635112732.314955
9.223372036779326e+18,9.223372037952879e+18,9.22337203675384e+18,9.223372037952879e+18,22564183.980932742,2817885.286130392,44677507.4521111,15329257.33164897,182158635211.23615,28673503245.37449,9390752006.60284
