Unnamed: 0,Mass 1,Mass 2,Mass 3,t_merger,Flag,GW-kick-random,GW-kick-aligned
65,4074969.589311702,22675798.582717605,8819110.918181704,2458516875.0387673,Tr,309.5605248938942,235.91071622166766
66,8819110.918181704,4074969.589311702,22675798.582717605,2489269415.5597744,Tr,120.15987889794197,187.87658056090555
68,793375458.7898293,137804130.27415264,25417740.49857504,2803094931.972179,Tr-ej,171.75575854919518,82.44073868634933
69,2208483256.520007,573730293.9024367,603715712.8755817,3244900278.769696,Tr,1251.9388355697733,237.42109378258584
71,200274671.9130937,26720762.872592743,61373262.63741879,4692898953.165233,Tr,701.3796850821342,266.4571264878319
75,123912027.00796126,32160483.67484821,40706810.89344906,2843729421.143754,Tr,383.57818695195806,204.2652058456928
77,123912027.00796126,32160483.67484821,40706810.89344906,3269266997.3573513,Tr,1556.6568711534799,128.86754880744638
80,16381075.849995645,38039846.72535549,70099994.35384236,7250247371.886483,Tr,1028.2783529453795,244.29695895427963
81,70099994.35384236,38039846.72535549,16381075.849995645,5667640372.367363,Tr,1994.2081162740362,103.0553621481968
82,70099994.35384236,16381075.849995645,38039846.72535549,5297407311.821891,Tr,423.46311820916713,201.4003487412578
88,12154034.91583482,61513561.907855734,36456375.026796974,3718694469.178123,Tr,713.4166238088798,85.24087264403853
90,4614322.133632722,10504410.862381373,3441208.8160727094,2845540148.018595,Tr,267.96933318783726,370.7929792762124
92,4614322.133632722,10504410.862381373,3441208.8160727094,7033961696.901526,Tr,307.60300610005993,464.4357050575501
93,38250311.98493745,5066095.892896483,84397679.3465764,8835430637.727884,Tr,2342.7238181998027,147.1059356131559
95,38250311.98493745,5066095.892896483,84397679.3465764,3244900278.769696,Tr,1944.2506894748592,456.2572477974148
96,5066095.892896483,84397679.3465764,38250311.98493745,3795389658.3582625,Tr,609.4237219473908,266.7913536599295
100,263868134.50678045,46915337.61690456,111874893.85238534,9127501173.96734,Tr,1097.7420662224438,171.61827370260846
105,47636886.71438938,17514404.26837351,23848887.92793995,8420761806.400688,Tr,369.84973350356165,442.91626202513044
106,6817887.857848023,4305923.772954073,346682621.32253677,5510660226.320722,Tr,6.709314537000612,3.0583949123760727
114,227068515.64311495,9191874.266583009,91395176.46127456,4440362796.060466,Tr,677.906106507694,219.59892667571071
115,227068515.64311495,9191874.266583009,91395176.46127456,5263846972.838826,Tr,1045.5631765639275,167.27970548840096
121,215897673.67164135,60171204.616924025,1419067479.0795228,12579607352.8481,Tr,169.4740129828321,89.37014659464268
122,215897673.67164135,1419067479.0795228,60171204.616924025,8951689705.855415,Tr,379.33503849239895,158.5728166850475
123,215897673.67164135,60171204.616924025,1419067479.0795228,3375828646.824424,Tr,164.06699794751617,84.09048600553095
129,133628064.47840716,5666088.278979693,2710118974.0508327,3712352639.009656,Tr,53.46808458577307,17.68343975864061
131,101652647.77963406,66349058.62538525,57923150.21379912,6362001459.017682,Tr,837.9886442850991,79.88625390217933
136,11605319.92504997,26025088.656124488,16789357.160008434,4153633101.178341,Tr,576.093602543274,88.71312929897196
137,680254964.1905458,13732075.100637129,113176496.1933014,4421397721.806871,Tr,428.12061749757083,138.29492943483623
