,Mass 1,Mass 2,Mass 3,t_merger,Flag
374,3384624.094195737,1134170.4980071057,57134747.8357971,8508348584.307757,No
375,45609180.08865616,28267320.92353289,250637262.46349004,7151463946.448393,No
376,45609180.08865616,250637262.46349004,28267320.92353289,7367664104.606943,Tr-ej
377,733098279.1592522,64136931.05973046,17983015.19189774,9600710862.570717,Tr-ej
378,733098279.1592522,17983015.19189774,64136931.05973046,11215878747.064472,No
379,733098279.1592522,17983015.19189774,64136931.05973046,13062777884.588804,Tr
380,733098279.1592522,17983015.19189774,64136931.05973046,12456821567.46506,No
381,2447590.6117438287,1162444.7770928368,11326595.827870158,9824426873.078283,No
382,11946536.960370077,8851052.121870749,450062451.1512888,11945403203.660252,No
383,2982506.410856335,2009730.247685302,3674165.24638832,5996997463.418948,No
384,8760681.215285648,26658423.419433,9908416.532316688,12913646287.349524,Tr
385,34031453.45360768,4517693.309393981,206742619.26028472,7350244288.912704,No
386,33999659.26980705,6067162.428192386,149897274.17059135,10495686148.123371,No
387,15951740.348737076,4862562.54844579,5925428.924322826,12674126325.18104,Tr
388,34134648.46461043,21809862.39736887,23922303.63929208,7902979149.857515,No
389,46517484.544161685,12512735.277296105,52318705.57175938,9160542011.737846,No
390,468826567.03601825,18182387.839360755,84778248.21780215,8728093629.197477,No
391,468826567.03601825,18182387.839360755,84778248.21780215,6557746983.857932,No
392,118241119.92695063,35854557.78532079,43498169.96124176,7095332627.223002,No
393,118241119.92695063,35854557.78532079,43498169.96124176,9085290441.235449,No
394,105937057.56340526,10876303.331356412,191725769.21098518,11731049796.153896,No
395,65975003.789666645,7990767.668266338,13318632.46310966,10533066210.144016,No
396,65975003.789666645,7990767.668266338,13318632.46310966,9724763007.284245,No
397,35832602.90165966,3919561.166673844,495516290.7000383,12989034762.502382,No
398,47980351.83214915,15612269.928795578,72809073.21113212,6875202329.016719,No
399,47980351.83214915,15612269.928795578,72809073.21113212,10470809357.041664,No
400,41289059.65830286,2036938.0819117383,71402104.41407812,8448948717.548417,No
401,41289059.65830286,2036938.0819117383,71402104.41407812,8761634182.573046,No
402,3222301907.871965,745596900.1877055,1213587269.2465503,6468030796.73721,Tr
403,3222301907.871965,745596900.1877055,1213587269.2465503,8346198799.034019,No
404,221602645.5298812,66300919.50324141,343970358.0985026,12317803211.803196,No
405,46484271.88517616,10004261.00367085,102635732.48351946,6133685713.7975855,No
406,12837883.761934178,4808757.494226597,7927348.98994939,7771549037.251255,Tr
407,12837883.761934178,4808757.494226597,7927348.98994939,13527440256.904083,No
408,383788634.77579254,141320984.25354692,37409210.02493998,8807765739.437933,Tr-ej
409,74010847.22500655,311536802.05821884,189507321.9684344,8224859038.538102,Tr
410,189507321.9684344,74010847.22500655,311536802.05821884,6230100588.353629,No
411,26309360.582312275,13134383.168178542,94135272.33409992,8290020010.164427,No
412,1416624886.3752885,4941786.195183334,1522999701.7847922,8164116959.9603405,No
413,7829562.666882152,7341429.131902919,183432775.8977078,10140905195.618923,No
414,356745859.9120542,6204011.018192454,269748067.9446694,8613599194.334028,No
415,356745859.9120542,6204011.018192454,269748067.9446694,12516192475.526678,No
416,12959363.26958144,8098178.972070502,250638682.4965917,7992084554.705783,No
417,191117559.43522528,45725491.88108349,8356923.203510958,12971008988.278938,Tr
418,191117559.43522528,8356923.203510958,45725491.88108349,12856040781.802464,No
419,568846800.0660738,1957941640.4703655,1379534818.2140312,8734802975.354248,Tr
420,108665046.04586452,13954693.689973228,273513995.7300825,11730444293.108984,No
421,126745455.00483128,114988174.42430823,925644317.1712259,9378031109.828997,No
422,21923856.0069932,7269916.264906917,7838156.710838613,8803966537.45797,No
423,8871772.894032815,6564060.41110027,10229251.04828655,7984126730.733888,Tr
424,8871772.894032815,10229251.04828655,6564060.41110027,8042561874.575475,Tr-ej
425,8871772.894032815,6564060.41110027,10229251.04828655,13732745391.586044,Tr
426,8871772.894032815,6564060.41110027,10229251.04828655,8287917644.633963,No
427,35099761.348419234,16419274.740428384,1119362392.82374,11710921434.725683,No
428,35099761.348419234,16419274.740428384,1119362392.82374,9310825382.622324,No
429,124607164.03430463,12437785.930194246,34502970.27922876,7671346822.611262,No
430,248568779.16874623,20686332.207391974,219865145.15206495,8659001313.425207,Tr
431,9032570.71026698,7937644.229935909,8027035.313680912,6815877148.17795,Tr
432,9032570.71026698,7937644.229935909,8027035.313680912,13109516329.85336,No
433,31806021.345344946,7636938.020343508,25902539.79945739,13234335146.42582,No
434,19924660.924335532,19613639.202451944,25768062.66473695,8909865915.108545,No
435,19924660.924335532,25768062.66473695,19613639.202451944,12094897586.954208,Tr
436,19924660.924335532,19613639.202451944,25768062.66473695,8190109999.5237,No
437,3658038.841517676,2648446.93644884,5223080.552277105,8454193527.6960125,No
438,150747905.36917028,59089423.400133826,424420913.43590325,11636908086.307705,Tr
439,316754643.8208819,517999674.7974906,264164497.78922305,13130453436.933168,Tr
440,316754643.8208819,264164497.78922305,517999674.7974906,9295293980.87066,No
441,27130368.10287182,14098472.041509083,113235143.56039712,12238050717.00162,Tr
442,913195843.6240784,13639787.149364864,373846434.52282506,8835330920.80488,Tr
443,1798613.9264720941,2659920803.9096756,311272171.7220949,7968702523.342946,Tr
444,5261460.286841829,3797722.326557544,168996719.38695806,12765074038.139408,No
445,5261460.286841829,3797722.326557544,168996719.38695806,9183618642.374552,No
446,5261460.286841829,3797722.326557544,168996719.38695806,10629228759.948906,No
447,26161552.96690496,3836191.0232795784,331190060.1842051,9431959954.380615,No
448,17642676.47221219,14030040.646343524,35074533.60261818,7149329569.126153,Tr
449,29036856.38796901,21758457.19909137,164909864.12058604,9277839824.610004,No
450,132622711.1944534,7873174.727123775,1486902460.3424098,7498376610.230662,No
451,229320650.3865281,41890834.49355363,61892426.73935958,12018197862.283665,No
452,7965030.4275139235,3731733.388326721,5902324.985759981,8161282200.943018,Tr
453,121268426310.76454,558619721.6684316,514223806.7803621,7815310591.957469,Tr-ej
454,64253628.32201951,5848860.739485165,133670129.9088079,12216425163.927876,No
455,386747593.592237,25017149.160616867,60457199.28358398,8068419683.988581,No
456,2521895138.478342,112522286.94339947,231035125.52916086,8433563257.98377,Tr
457,2521895138.478342,112522286.94339947,231035125.52916086,13616952241.879398,No
458,2521895138.478342,112522286.94339947,231035125.52916086,9184778806.261362,Tr
459,2521895138.478342,112522286.94339947,231035125.52916086,11936671204.956575,Tr
460,581024879.0159764,15239227.23300823,469224377.82412535,9372246847.901709,No
461,3796245.4921318917,715794665.4846654,4166443.8399906736,13085230938.97637,Tr
462,247152117.63018543,95711935.08679372,124099674.81734133,8982109768.748348,Tr
463,105245739.94631374,2849168.615358385,1402906082.350343,7521557371.120993,No
464,194469574.7568769,110422057.98615009,182281129.05231944,13342646396.835468,No
465,194469574.7568769,110422057.98615009,182281129.05231944,13329736431.919613,Tr
466,13347076.818276316,12680696.792552002,485573218.9227148,11381688359.547874,No
467,13347076.818276316,485573218.9227148,12680696.792552002,10470191681.303783,Tr-ej
468,13347076.818276316,485573218.9227148,12680696.792552002,7865048196.310087,Tr-ej
469,488300489.7157759,69222921.61638026,200370930.7334566,9268226282.045893,No
470,56634501.44373445,1124240.206527694,59194931.859581865,13026280336.510183,Tr
471,23912293.36240792,13357314.16479694,218608415.85715908,8414432381.770017,No
472,23912293.36240792,13357314.16479694,218608415.85715908,13254457080.883154,No
473,144040314.80610842,25735117.896780092,81692942.29798059,8895141515.159235,No
474,12884432.353561493,9024154.156954398,22848048.597940303,8766425391.342773,Tr
475,5140335.37090547,2642781.0043735015,19801651.585102275,13259820704.503653,Tr
476,134206805.14919482,15211962.597457742,3386935150.929993,12901967289.200457,Tr
477,65475535.432962,16475934.06118177,201242831.0578321,11099788932.876396,No
478,65475535.432962,16475934.06118177,201242831.0578321,13469442090.186735,No
479,15887279.185176048,4490229.869209258,34888225.25968975,11143916725.844484,No
480,30830338.66859016,6543143323.513869,49046773.49584966,7821427596.92726,Tr
481,78353391.27713357,59267637.5543832,220214473.29505575,10544133528.293808,No
482,43220509.48267353,41335175.54090201,4957264.555990733,9513759464.758898,Tr-ej
483,80218567.10320434,8248205.469253336,145212584.96845058,9675843647.896212,No
484,979668308.679734,56823760.58654918,83546227.49886382,8408737211.539155,Tr
485,3992127.7648903104,1328622.7307731411,278171704.303293,10553240664.23423,No
486,4852435.687116954,3788790.318348551,55997159.31811449,8078477939.74944,No
487,9971454.847074866,15417015.377327144,9422743.2482393,10006432928.970312,Tr
488,6350790002.777973,2581421.3740535006,3285842994.4279003,11150803179.46481,No
489,6350790002.777973,2581421.3740535006,3285842994.4279003,9266174056.75998,Tr
490,6350790002.777973,2581421.3740535006,3285842994.4279003,10200750351.093628,Tr
491,460230804.0236827,46032077.027716465,298534978.9800736,9119471039.223175,No
492,120261038.13591851,9639099.49159734,28974497.408124007,13592716071.773268,Tr
493,34594482033.64611,1089906646.1974869,1163078111.8561437,10945342813.503551,No
494,34594482033.64611,1089906646.1974869,1163078111.8561437,12044622478.6358,No
495,12659033.84221816,31781760.846654516,12287745.232680403,10951468087.06496,Tr
496,12287745.232680403,31781760.846654516,12659033.84221816,11965201979.122522,Tr
497,27890170.16239189,25250744.605828222,57645391.73912838,8888190100.33009,No
498,27890170.16239189,25250744.605828222,57645391.73912838,10525843478.175903,Tr
499,18887996.403583687,6882900.443399957,172873409.75429493,9351703769.112225,No
500,18887996.403583687,6882900.443399957,172873409.75429493,11312271705.789476,Tr
501,11295833.682646858,7658650.326466796,247398166.95876646,9718808804.762018,No
502,11295833.682646858,247398166.95876646,7658650.326466796,12674591027.992476,Tr
503,11295833.682646858,7658650.326466796,247398166.95876646,13250723825.171234,No
504,120427949.20424254,30781773.53651582,6008628.663744896,12080117817.94324,Tr-ej
505,547182310.0752883,16244610.668932961,360219796.8799808,11262494764.881992,No
506,108551833.11685535,24120398.256963685,13027894.88589041,10893708717.31539,Tr-ej
507,122653948.52259852,11809691.089030595,182041143.45815092,12509800246.937769,No
508,122653948.52259852,11809691.089030595,182041143.45815092,11597253614.033346,Tr
509,370889291.40038246,6576712.906035408,107938846.10140212,11148072697.810951,No
510,370889291.40038246,6576712.906035408,107938846.10140212,10230997390.171503,Tr
511,96973509.01117216,85404908.82553321,88890948.08662307,10183977766.934015,Tr
512,339105269261.7787,3016434314.3945074,147934788.42418346,9253434980.005806,Tr-ej
513,339105269261.7787,3016434314.3945074,147934788.42418346,12223680190.134518,Tr-ej
514,339105269261.7787,3016434314.3945074,147934788.42418346,12234380144.638166,Tr
515,279346053.8021402,7077586.981627745,83765054.59981868,9672959618.497496,Tr
516,279346053.8021402,7077586.981627745,83765054.59981868,10223392535.76573,No
517,279346053.8021402,7077586.981627745,83765054.59981868,12744455529.251083,No
518,340883761.41442287,24514741.449274838,814434424.8203146,10803729096.084637,No
519,7327788957.078499,39834768.56576336,236299188.2367494,10335713797.713917,No
520,1754068198.1777992,2937508.874608197,8027787931.224754,10325368034.182882,No
521,7819775.310745574,2526835.301628792,8788059.453484276,12213599589.84275,No
522,124416143484.42458,1252976147.4184139,527336392.44043523,12229882404.52588,Tr
523,124416143484.42458,527336392.44043523,1252976147.4184139,12724480353.517857,No
524,171237660102.45624,551461334.8033208,1583393709.5953522,11860285688.37298,No
525,553350908.0273441,18441685.883710843,275798828.9905384,11086238319.908728,No
526,443393927.3434687,68957659.43300349,101923585.88307278,12415798578.611568,Tr
527,19186434.08270991,1692168.2451770417,272429090.4404687,13542084126.065742,Tr
528,10891025.488794478,6823273.253464254,21588763.243451532,13113303143.168568,No
529,257969561.012422,53389694.5369775,55550558.90766489,13557216204.673635,Tr
530,257969561.012422,53389694.5369775,55550558.90766489,13736609101.743618,No
