,Mass 1,Mass 2,Mass 3,t_merger,Flag
259,52226374.20092477,3911679.9829600267,96432743.88916013,4884599953.473137,No
260,52226374.20092477,3911679.9829600267,96432743.88916013,6425455590.782285,No
261,52226374.20092477,3911679.9829600267,96432743.88916013,4421163119.1372795,No
262,52226374.20092477,3911679.9829600267,96432743.88916013,10869615816.454405,No
263,58007153.84807892,11521864.579669608,977992417.4281884,7789324218.191018,Tr
264,58007153.84807892,11521864.579669608,977992417.4281884,7323203142.430164,Tr
265,121695527.7411373,6514728.461151079,291044304.3691937,9527938927.31092,No
266,121695527.7411373,6514728.461151079,291044304.3691937,13346002554.170025,No
267,7969930.212306496,6233022.294457935,11159514.733137242,4625133606.19263,No
268,7969930.212306496,6233022.294457935,11159514.733137242,7629057250.000406,No
269,7969930.212306496,6233022.294457935,11159514.733137242,4496737108.86226,No
270,4516937980.932333,190179353.163355,915144592.4180799,12020713287.295202,No
271,190179353.163355,915144592.4180799,4516937980.932333,6920847221.75677,Tr
272,16440007.223711573,439656448.58284736,57742552.84621479,6954350798.511241,Tr
273,57742552.84621479,16440007.223711573,439656448.58284736,13053476703.11926,No
274,10795220.893947989,10612702.586708518,49567249.434121296,6916742090.9461775,No
275,56205789.32491686,4933819.809483506,119645030.97765793,10235835245.26144,No
276,56205789.32491686,4933819.809483506,119645030.97765793,9514060930.383036,Tr
277,32201113.058982477,10000668.31992383,328631160.5351424,13725514383.10839,No
278,8345492.329035743,5114490.620998624,14117046.07447786,12058469796.236736,No
279,3006579.8733251495,1339332.6204253228,5193714.267736252,6204843357.332344,No
280,38697744.150121905,2378896.2531052893,72205559.14295696,12443214018.510336,Tr
281,31499874.293103337,24162431.236770723,14215241.363452712,6409450613.787072,Tr-ej
282,5141504.522200097,2595678.506393807,19709491.436809175,7380074383.480862,No
283,5141504.522200097,2595678.506393807,19709491.436809175,5298532131.343342,No
284,5427503.568823906,14690810.449174734,4269599.326215437,5128873339.347623,Tr
285,5427503.568823906,4269599.326215437,14690810.449174734,10875177613.005907,No
286,388621530.728238,51196879.42150437,131199840.32528436,13108583540.953768,No
287,75277298.36849311,22269385.109042946,64342693.85615072,6554202591.532668,No
288,725272766.0454909,2822713.398675789,505614146.0854348,12750137669.397566,No
289,725272766.0454909,2822713.398675789,505614146.0854348,5287050805.1431675,No
290,179296976.778708,57488762.08802316,370573258.22366345,7506890640.704913,Tr
291,179296976.778708,57488762.08802316,370573258.22366345,5918129749.926577,No
292,179296976.778708,57488762.08802316,370573258.22366345,4841023155.884259,Tr
293,179296976.778708,57488762.08802316,370573258.22366345,11129379516.75959,No
294,179296976.778708,57488762.08802316,370573258.22366345,7434228992.254179,No
295,1079713058.0373971,99003287.80965571,21891372.297399975,6355240237.373641,Tr-ej
296,1079713058.0373971,21891372.297399975,99003287.80965571,10873792022.761808,No
297,1079713058.0373971,21891372.297399975,99003287.80965571,13743643813.772545,No
298,1079713058.0373971,21891372.297399975,99003287.80965571,8249349874.025745,No
299,291602140.1331167,4834687.29866159,151290326.64324978,4645614444.715268,No
300,18954601.840004675,24256863.438026354,41350120.38754872,12272967665.879148,Tr
301,20685344.13749531,2896526.7192963683,75468937.21371776,12976739112.567509,Tr
302,20685344.13749531,2896526.7192963683,75468937.21371776,7698320756.686954,No
303,9056116.01274515,4475631.9289249275,26692504.21387113,9204276500.219524,No
304,54925539.29748416,10860895.972204177,79771921.51815152,8228965744.6282,Tr
305,54925539.29748416,10860895.972204177,79771921.51815152,7903842476.590598,No
