M1,M2,qin,t_merger,z_merger,t_form,merger_flag,bhid1,bhid2,f-gas,Vescape,Phi_DM,Phi_star,M_halo,M_star,rhalf,sigma,rbulge
9512872.749197131,1928078.3443439577,0.20268097715347702,55538252963.52741,0,8613798268.531342,No,9223372038758608655,9223372043003314537,0.35071090953271794,769.1118889384073,1.9595047975194646,2.6302944315047143,333891441841.8426,8916424756.700342,27.456195935645972,0.19759228803231454,3.011802451718793
450062451.1512886,8851052.121870747,0.019666275422953388,11252893769.152205,0.20520429553279348,8616788342.125956,Yes,9223372036944644892,9223372047851037341,0.02135729302840912,2656.6334522293414,10.472701703187115,44.289123304995506,4151460450759.0947,240712572227.82483,63.873921519260335,3.5401329359276112,4.53821353575583
41065085.24497986,16451793.498454759,0.40062728228394373,21918484842.002552,0,8620671992.854784,No,9223372037948165975,9223372041877674651,0.3307374548530785,1598.814748029097,5.152224805439877,14.681803586516436,1471673785020.936,60123205184.93652,46.02546221442959,1.0578237991339994,3.7934513166969293
2289746574.987559,437052107.8745339,0.19087357205760144,9361556573.498407,0.40829073207059885,8621955661.41762,Yes,9223372040446786540,9223372050188179822,0.009025565679039877,2421.199976179239,25.756948771909478,19.728864182571932,22163198586468.67,305072611028.49786,138.64985911885645,2.0914997693763677,9.735339958438677
2881829.3766949265,2817459.276199915,0.9776634588377903,8679894442.866817,0.496799824195856,8622556864.94469,Yes,9223372040261035008,9223372045024041126,0.3720150673236042,668.0043705412975,1.8825316254142987,1.5798365484662227,490998409011.1472,11081242171.878164,42.026111948156384,0.11970821819848712,6.178317223395204
22332434.578753483,14763232.137355752,0.6610668480990927,11090859310.988338,0.22062406788737068,8625839017.267357,Yes,9223372039900368484,9223372040605705273,0.28563614945615345,1275.8313199421314,3.821862348477058,8.808073882112472,1377100200519.3044,53462536689.86636,58.05931524761812,0.6082491752341419,5.8664281540836845
2418074.9663781207,1174060.6478638316,0.48553525601498687,70923949844.37788,0,8627333806.134773,No,604599658986796747,9223372040930356095,0.6823230226308865,586.6157536591879,1.849039686701305,0.8210268438338275,413296650248.49506,5343671615.595337,36.01613136090653,0.05620448736618535,6.345626325456972
16500642.637149407,2205922.0210007834,0.13368703689360495,53919551658.97817,0,8628178672.144732,No,9223372038564636471,9223372040184782398,0.4492222010508321,1891.3644758255257,5.603200291609349,22.153324791888558,1067714808318.256,60773105783.89602,30.704393840805015,1.3783442763159435,2.942791194501842
11616026.97463595,5153896.539567707,0.4436884100580553,13007680219.076334,0.05614726663989566,8632922732.644499,Yes,9223372042495812289,9223372044450295213,0.5637331247173996,964.0441206555747,3.605062787060945,3.6061524760493104,425302328287.8778,17703849483.620037,19.009309262593366,0.2590226727282234,4.561793813798844
1006438520.5192113,3046226.6088658394,0.003026738888426411,19029491494.235813,0,8633718802.34899,No,9223372044504077364,9223372048321924975,0.012124420275378295,2730.9507245049476,13.838003250014353,44.03051568874094,2853646332249.8926,271603627638.38336,33.22830042644845,3.937090418696511,4.60432425767613
7910123.988427123,1187123.5323653452,0.15007647593162404,306344495917.4558,0,8635912028.662613,No,9223372038493757710,9223372044711495750,0.6662032042044478,832.9467297771273,3.044527347476,2.338778990275851,855401889844.3743,26152660562.23349,45.272214116956555,0.15276219527108187,11.426302304753387
2676279.5852399766,1832950.326868537,0.684887459807074,529402483373.4466,0,8640103406.66196,No,9223372040233714461,9223372042853577826,0.3467304892765576,559.3679142793233,1.588769628162443,0.8390126775509472,260924310000.10535,6138139354.086227,26.46275303020098,0.05813707828761154,7.046756510243748
492615163.07349277,2644527.6450884556,0.0053683439798906905,21078379960.375057,0,8642085314.754932,No,9223372039613342074,9223372044054800974,0.060573014857919334,3203.379353980108,10.21500915247163,69.40667941197155,4785104892176.936,291937156157.0601,75.48038576708568,5.443762318552026,3.5792822083704365
5515025.157632706,1948285.4153795636,0.3532686360792331,8697964500.22394,0.49432226886588004,8642491438.228872,Yes,9223372039914737732,9223372040472776736,0.5024290227464003,693.6026696962701,1.860905982286691,1.8719063079726121,425621723354.0321,9241891516.880556,36.853671707678664,0.1314526416390391,4.692424266413303
466938124.5305676,19893811.733395375,0.04260481354653886,12937070850.331425,0.06158808427080806,8644879406.397951,Yes,9223372037939461736,9223372052971524702,0.05623278678188991,2840.9826596188977,5.923885447256579,56.70170090134912,456459424246.7799,295199101621.4544,12.415863672273282,4.4256465176788,4.451885969838921
13902322.869186647,7826299.434440347,0.5629490487367902,24422433557.83704,0,8646081487.334984,No,9223372038092656543,9223372047818098602,0.5084095204007409,1064.0911442896643,4.038791072801126,4.74682653844057,1245745649053.292,35927186254.411934,49.70034464778036,0.32029762316872085,7.486437671487488
