M1,M2,M3,qin,qout,t_triple,z_triple,M1_ID,M2_ID,M3_ID,sep_2_ovtks
159204085.3679037,7080370.795020126,3462977.923520063,0.04447354964954663,0.02082562617955747,6819266652.945832,0.8024398286535483,9.223372037541183e+18,9.223372038007245e+18,9.2233720365568e+18,72.28460574370767
17006622.58140882,1242932.8236571078,3199504.9818513133,0.07308522416531124,0.17531961249659578,3886208645.453495,1.6952315604428876,9.223372036571096e+18,9.223372038624705e+18,9.22337203729156e+18,30.28738625989464
488475782.01057136,19142030.78120493,1642197.2803321397,0.039187266771785766,0.0032351057014734143,3128887169.115718,2.128651282095379,9.223372037336746e+18,9.223372038007245e+18,9.223372037816844e+18,82.59562936451084
81226553.96523951,8424679.843974091,4171986.250812236,0.10371829694485611,0.04653573713988835,9489597068.535557,0.39271711061332154,9.223372036711006e+18,9.22337203710287e+18,9.22337203710287e+18,15.34043083413576
26663358.990325965,10455170.258718848,4478784.402410454,0.39211752212135786,0.12066168819244659,9487553295.207611,0.39296328046520035,9.22337203666398e+18,9.223372036728586e+18,9.223372036728586e+18,5.721511081243761
33516434.405643865,6635285.548394205,15983040.571620362,0.1979711048045398,0.39806614984155725,5483816758.029468,1.1144586196629536,9.223372036742216e+18,9.223372037329689e+18,9.223372037329689e+18,0.1390667322160479
114183755.80968238,37605002.45222499,14678456.161190912,0.3293375855923301,0.09670318361695558,11936032787.011566,0.14350723083072237,9.223372038504225e+18,9.2233720372145e+18,9.223372038504225e+18,0.7584882895264664
3723106.322260145,2988779.5347154993,2470758.194447058,0.8027650236163908,0.36811683736832407,2435937646.340942,2.709071911524513,9.223372037469676e+18,9.22337203687634e+18,9.2233720369567e+18,1.2620585591711129
1138544998.0708416,65907198.23318916,39028473.770681486,0.057887214247010675,0.032403505834805106,7389555543.5357485,0.696468062321022,9.223372038039849e+18,9.223372037846305e+18,9.223372038039849e+18,5.017388629095347
9080886.39304501,8617128.155363908,1415551.4771199897,0.9489302896646421,0.0799836316807215,12635112732.314957,0.08533406371877222,9.223372036977127e+18,9.223372037894865e+18,9.223372037527058e+18,2.221174271703247
39449947.9939818,5227559.458129303,15329257.33164897,0.13251118756675626,0.34310905432851385,9390752006.60284,0.4047123516200825,9.223372036779326e+18,9.22337203795288e+18,9.22337203675384e+18,17.71695445510431
10171737.938509999,2636051.8166341856,11989424.67869867,0.25915451543970136,0.9361041138173882,3571161096.2667356,1.8573457526316912,9.223372036858038e+18,9.22337203704696e+18,9.22337203704696e+18,2.0227405738133633
23406181.964221224,10574358.136933101,2230715.798954521,0.45177629367733296,0.06564686118331424,4886843757.808992,1.2957503123702585,9.22337203675456e+18,9.223372037168095e+18,9.223372037168095e+18,0.0310891236187166
47033012.53612031,7353261.231552087,25423420.630981397,0.15634255249767268,0.46746024078769055,9642333368.59122,0.37453653393201913,9.223372037364586e+18,9.22337203742889e+18,9.22337203742889e+18,2.24462243690917
451212472.84930766,42405233.59390678,1524874.1454788896,0.09398063250806665,0.003089180403325565,2672691136.558998,2.4831168823571135,9.223372036518556e+18,9.223372038230225e+18,9.223372038230225e+18,0.2402257122543626
3706653.412795036,1826391.9648968277,2620372.8820304335,0.49273340706532903,0.47358600972174464,9376092483.716244,0.40650707998171887,9.223372037455194e+18,8.770630226209327e+17,9.223372037455194e+18,1.1452591109436123
27524460.86926814,5461630.050843677,2278414.710836882,0.19842822995823853,0.069071982986857,3868546424.324359,1.7037520119563736,9.22337203743227e+18,9.223372037523855e+18,9.223372037523855e+18,1.7292323246656958
6467173.293151576,1969981.7805991415,2792296.2896397654,0.30461249317151545,0.3309523488938857,4886664235.77592,1.2958100682955056,9.223372037367837e+18,9.223372038397342e+18,9.22337203740195e+18,95.96771007934898
