M1,M2,t_merger,Merger,Redshift,Type,BH1-ID,BH2-ID
2384758.522727273,1377708.8068181819,13419505989.925228,Yes,0.025217974047513567,iso,1036949458385230400,9223372036798707703
3207130.6818181816,2752599.431818182,1200387406.297072,Yes,4.965342523937897,iso,9223372036623185050,9223372036630890303
18048721.590909094,3158196.0227272725,42402549122.6867,No,0,iso,9223372036605218289,9223372036813088478
5421803.9772727275,3758863.6363636362,1207504212.8739684,Yes,4.941827875592966,iso,9223372036521993284,9223372036689921995
4215681.818181818,1335420.4545454546,48834227517.484795,No,0,iso,9223372036517036845,9223372036544524635
10558451.704545455,1492500.0000000002,1212741737.7502167,Yes,4.92466892118808,iso,9223372036358241323,9223372036527384656
7330582.386363637,4490880.681818182,1220451816.6489844,Yes,4.899632117123022,iso,9223372036396312409,9223372036589031096
6619247.159090909,1412536.9318181819,89103949529.48535,No,0,iso,9092849091142575963,9223372036879315900
6510568.181818182,4450042.613636363,11982936862.409328,Yes,0.13945511313122497,iso,9223372036333631925,9223372036486031901
2485539.772727273,1171938.9204545456,357475125973.3651,No,0,iso,9223372036709080373,9223372036896364923
1406248.5795454546,1317009.9431818181,1347676681.0514143,Yes,4.521199041465498,iso,9223372037009081277,9223372037103180403
2602357.9545454546,1250251.4204545456,1234764135.7151961,Yes,4.853844738812037,iso,9223372036792315906,9223372036908505259
1719928.9772727273,1016867.8977272728,80447353850.95212,No,0,iso,9223372036798549652,9223372036831413043
3054914.772727273,1180333.8068181819,167872811864.76035,No,0,iso,9175344300051172004,9223372036970140153
40735511.36363637,22151562.500000004,2050554081.4482424,Yes,3.16624530864659,iso,9223372036439537773,9223372036457337876
32767755.681818184,1246623.5795454546,16143779679.940643,No,0,iso,9223372036378797302,9223372036738509884
2236690.340909091,2184474.431818182,10810798540.357506,Yes,0.24804879921732256,iso,9223372036422437285,9223372036726288122
5092286.931818182,1093052.5568181816,1284631714.814643,Yes,4.70095567831943,iso,9223372036599575642,9223372036618797190
16310085.227272728,7080468.75,60130836603.31957,No,0,iso,9223372036366619496,9223372036551553059
31664062.500000004,9252713.068181818,1686892188.3043568,Yes,3.7503445319798407,iso,9223372036326647026,9223372036355389392
17190625.0,3471349.431818181,173068446674.04657,No,0,iso,6062277597694999902,9223372036732078221
2032982.9545454546,1353600.8522727273,12873044926.111288,Yes,0.06655771833659631,iso,9223372036445043372,9223372036489029465
12664630.681818182,1430596.5909090908,234579309231.17444,No,0,iso,9223372036360327581,9223372036962256206
3145142.0454545454,3001036.931818182,8746772963038.402,No,0,iso,3473569917711524016,9223372036361916685
3872727.272727273,1344600.8522727273,5727308126066.06,No,0,iso,9223372036843855543,9223372036897966438
21689630.681818184,1342669.0340909092,204203052172.20764,No,0,iso,9223372036443218027,9223372036732078221
9697201.704545455,2019928.9772727273,44185606362.32022,No,0,iso,9223372036368417269,9223372036879292579
19420738.636363637,15709090.90909091,86801160046.6896,No,0,iso,9223372036331263577,9223372036581589630
