Unnamed: 0,Mass 1,Mass 2,Mass 3,t_merger,Slingshot_kick,Flag
40,122748851.56782924,15329257.331648966,44677507.4521111,9376092483.716244,2669.742914269233,No
41,122748851.56782924,44677507.4521111,15329257.331648966,3868546424.324359,1893.4609850441602,Tr-ej
42,9486102.774306474,2792296.289639766,8437155.073750718,4886664235.77592,3392.298438726114,No
43,9486102.774306474,2792296.289639766,8437155.073750718,2723142254.427797,575.7292984190561,No
44,9486102.774306474,8437155.073750718,2792296.289639766,4273044301.43931,2728.1213105484794,Tr-ej
45,9486102.774306474,2792296.289639766,8437155.073750718,3886204763.8541455,11553.453018986163,No
46,9486102.774306474,2792296.289639766,8437155.073750718,6806537207.286376,3164.155094192532,No
47,9486102.774306474,2792296.289639766,8437155.073750718,7335303757.627098,6733.404559155722,No
49,38788486.776549086,3916408.6931883176,26203728.820304334,5698040842.25039,10215.82813534053,No
50,38788486.776549086,3916408.6931883176,26203728.820304334,2601773749.3182406,2124.334176832472,No
52,38788486.776549086,3916408.6931883176,26203728.820304334,5700406073.250354,12097.185326783803,No
53,38788486.776549086,3916408.6931883176,26203728.820304334,10724932402.099155,4796.809292177483,No
54,38788486.776549086,26203728.820304334,3916408.6931883176,9763071327.905125,5354.377451324131,Tr-ej
55,38788486.776549086,3916408.6931883176,26203728.820304334,9022377391.127531,4803.990299187478,No
58,26955129.57327381,7749930.054236912,40341578.379720464,3204049858.75085,7040.111013998289,No
59,26955129.57327381,7749930.054236912,40341578.379720464,4605878058.324924,2370.752591563037,No
60,91024828.22720982,14529778.695454584,68343637.11987661,2552167437.676985,1856.9838414898213,No
63,54981080.16978383,4031757.9820303614,188782040.59139207,4997948977.216171,4895.269458830841,No
64,15842792.49995853,7275752.600954445,14766640.216799565,8435405712.467721,2546.9334947473694,No
67,8819110.918181704,4074969.589311702,22675798.582717605,10332788618.972227,8524.606492938083,No
68,793375458.7898293,137804130.27415264,25417740.49857504,2803094931.972179,1095.6227730891653,Tr-ej
70,3310089.79175105,1459581.0234678455,81695356.35425328,2830686086.6660347,1592.893487012468,No
72,200274671.9130937,26720762.872592743,61373262.63741879,3312391552.788757,509.93740998839746,No
73,491106906.6030091,76452736.1464983,108543496.19605853,11583980136.161947,1620.7030495584613,No
74,491106906.6030091,76452736.1464983,108543496.19605853,3258800998.317362,206.56086155635217,No
76,123912027.00796126,32160483.67484821,40706810.89344906,4613490985.720659,2391.350516896773,No
78,123912027.00796126,32160483.67484821,40706810.89344906,8982603603.595745,645.8047775088372,No
79,70099994.35384236,16381075.849995645,38039846.72535549,7941796169.716408,1207.8776733077493,No
83,70099994.35384236,16381075.849995645,38039846.72535549,3524500076.6493807,3215.6668356898726,No
84,56246789.97153345,7177131.302049117,82086717.47705111,4128604485.612744,1501.7891778041858,No
85,57283069.14767917,8766233.544712858,23168408.06565869,5159988658.487915,10779.781347894033,No
86,2368847152.1360784,121965223.06234342,154972472.47566894,2825873139.9345865,1188.09759074008,No
87,36456375.026796974,12154034.91583482,61513561.907855734,5314173227.343169,930.1232676140022,No
