M1,M2,qin,t_merger,z_merger,t_form,merger_flag,bhid1,bhid2,f-gas,Vescape
48091409.03164027,3342062.104919793,0.06949395270828904,27461657128.206642,0,10532219896.392193,No,9223372038037574890,9223372040848791123,0.2285903617652164,1567.5239587649573
1204770283.7187867,1608073.884900966,0.0013347556016548605,21134956601.503536,0,10538082318.632685,No,9223372040502205951,9223372059988601902,0.05696712010877649,2945.013755182635
6469273.201569231,4026518.0598855,0.6224065570315999,17935023693.22228,0,10542603210.988682,No,9223372042194954279,9223372045741800226,0.6299932675624286,1389.1331572480094
67366938.35260396,2071104.0783359618,0.030743627794032096,43876477571.69489,0,10543725550.76864,No,9223372041658345453,9223372047357330265,0.2644641650547436,1676.294267401372
3478143.877045029,2211729.956386281,0.6358937509696491,972596556934.9705,0,10548931498.774073,No,9223372041064163973,9223372057568205733,0.5332211318462567,985.6105999087433
278171704.30329305,1328622.7307731414,0.004776268434997013,10870376429.667416,0.24213018454551702,10552095221.747545,Yes,9223372042790571757,9223372060210551421,0.14891173636352675,1693.110314855759
176633657.40730155,21115466.210692048,0.11954384300610192,14126347912.253609,0,10556162452.997637,No,9223372050149584030,9223372061285727335,0.01741198247275619,1831.7682877400484
7003603.257034989,2703544.220790478,0.38602189781021906,293129900452.15625,0,10564809619.202812,No,9223372045440079094,9223372052882855115,0.6223468968518083,1196.372594128779
469535365.07337314,1352741.993003624,0.0028810225887718477,26204311678.41981,0,10565199081.733503,No,9223372048176313273,9223372055669269811,0.027311293428277948,2046.1126373089967
32662465.376259778,1881586.4605979463,0.05760699441768254,18997717432.57248,0,10570619957.111116,No,9223372041334506720,9223372042446254152,0.16872610987733294,1266.800337020483
11423356.883412406,1075433.668826097,0.09414340108621744,25707562374.98294,0,10576507212.171469,No,9223372046964777154,9223372047744939844,0.2785063985739037,924.968345429284
45804587.724841975,2874303.201256507,0.06275142609126984,19221507383.580906,0,10578313687.234085,No,9223372041331256604,9223372052099518437,0.21498850254377755,1642.568389125305
