M1,M2,M3,qin,qout,t_triple_form,z_merger,t_form1,t_form2,a_2nd_ovtks,bin_merger_flag,strong_key,bhid1,bhid2,bhid3,bhid4,f-gas,Vescape
125379127.38133727,1971713.2220911903,1537910.049351473,0.015726008493377668,0.012076167240548788,4398376017.706435,0,4155115378.539391,4394408736.70429,1767.6043924996054,No,False,9223372038594531172,9223372044066567945,9223372041765133857,9223372044066567945,0.17874764595198853,2010.005397672483
92107978.53883353,2517915.23186527,2265506.609943441,0.027336559457807393,0.02394171954067146,12333745023.471703,0.07818521735387737,4155438609.7939005,4182254369.6609416,0.05417034163546278,Yes,True,9223372038460635936,9223372041799862551,9223372038083321575,9223372041799862551,0.36851199782768174,1615.9609209707871
311636355.06349397,6138652.410003624,26743199.39559784,0.0196981267116698,0.08415765483957457,4824218328.4410925,0.16707015296640354,4157424290.158706,4424864116.158535,901.3115788722354,Yes,False,9223372037416927286,9223372042942051291,9223372042942051291,9223372044078940999,0.16128761295136532,2544.021433840238
763509284.9532387,2645434.4461649945,1320947.451859055,0.0034648359860181854,0.0017241262350959068,5266731722.563888,0,4163474924.025488,5257815329.416219,2271.092293247568,No,False,9223372037106542587,9223372041524417769,9223372039755386408,9223372041524417769,0.14399062960975784,2886.7509158092503
7425540.715565847,2504566.1595400483,4806542.24258812,0.33729074494061184,0.48403731229094776,9282874124.045158,0,4163705900.982444,6880494239.650234,832.0261546780505,No,False,8202986319065349924,9223372040539063246,9223372040539063246,9223372041604172282,0.5039206750248935,993.1442339755183
51466927.59525268,2776490.842399897,1121740.948268901,0.05394708742349721,0.020679761353135054,6460730338.58801,0,4164583637.9782767,6439700583.695313,529.6006939961273,No,False,9223372036552464450,9223372040099745650,9223372040099745650,9223372043322839051,0.29561673460562954,1295.945213968605
10682237.096352749,1433953.9373247365,2705290.861505432,0.13423723180740235,0.2232789870996551,6998402671.840574,0.45746254996957886,4169881681.030365,4257700735.5404773,0.02265895801214954,Yes,True,9223372038249101440,9223372045135239756,3245574403684265006,9223372045135239756,0.6750470896383296,810.0485294976003
28702346.674367245,1185090.0147680875,5457187.209405002,0.04128895899046601,0.1825913431843018,4248209823.33622,0,4172746906.7165246,4234910935.5902553,1565.7847322504645,No,False,9223372039789209142,9223372041290497620,9223372037553253879,9223372041290497620,0.5689624365656094,1328.3929060090013
12581944.338270385,9475429.828705387,19691883.026349477,0.7530974207129545,0.8927573553080539,5160807032.005603,0,4176506210.5789056,5098123268.506131,236.97035205681013,No,False,9223372037352661456,9223372037679113437,9223372037679113437,9223372037691235773,0.494847767213107,1088.7834676962873
6060296.274824435,3416834.241205711,3082764.0605697143,0.5638064685714884,0.3252845421254203,7518231969.3395815,0,4176953059.7842803,7487609611.744238,740.3536341283826,No,False,9223372037400715711,9223372038686961276,9223372038686961276,9223372041469067636,0.6164635969495851,764.986591066425
604874517.2622502,478400574.35081863,31646147.685452815,0.7909087929776395,0.02921339919145523,11428345083.645254,0,4178278257.0052423,10804317586.639305,959.4671943809082,No,False,9223372038469977993,9223372039831995868,9223372039831995868,9223372062122011720,0.6594936437588903,854.4176283288843
109085025.45345584,2620174.4432897214,6440730.536227299,0.024019561185395624,0.057658287547766564,6862823466.271746,0.09490677382116229,4182254369.6609416,4830960190.538302,151.74607656429762,Yes,False,9223372038083321575,9223372041799862551,9223372039450024459,9223372041799862551,0.36851199782768174,1601.4836371318218
190425989.51104876,4161146.399637486,27493118.87654678,0.02185177774484428,0.14128949864993068,6012647323.462895,0.09310386768046965,4183148331.750077,6006967678.684343,750.8102957170626,Yes,False,9223372037828049186,9223372039093618317,9223372037231215632,9223372039093618317,0.2956535420445379,2239.6117123745416
42703553.22784074,3522500.3215527497,130941820.3107257,0.08248728865157391,2.8326411245730005,4758399009.211291,0.8255583719265445,4184705152.6006136,4705586190.102613,608.0852390698643,Yes,False,9223372037698705631,9223372043464164403,9223372041587629427,9223372043464164403,0.5935122701661599,1348.357717414332
6524181674.9801445,1069231.4537070652,95891001.26090409,0.00016388744320341436,0.01469537380797974,4472525871.755353,0,4190363114.8597174,4287376853.5415463,1121.770675851753,No,False,9223372039785322424,9223372048003238420,9223372037288461336,9223372048003238420,0.007758195960473345,4161.511679955072
