M1,M2,M3,qin,qout,t_triple_form,z_form,t_form1,t_form2,a_2nd_ovtks,bin_merger_flag,bhid1,bhid2,bhid3,bhid4,f-gas,Vescape
23053174.993438005,17428702.65671941,1068961.157949056,0.7560217914313503,0.026405918400993423,3718929750.1341434,1.7785395809188806,2575237119.9673357,3712768991.0940423,4.631903305565874,No,9223372037986132898,9223372038561286748,9223372038561286748,9223372039840940773,0.7898765927909966,953.8192264678659
27217565.44865294,6146680.28641192,2404584.651913029,0.2258350511917712,0.07207070320147774,3312724094.616861,2.008726021351815,2575523570.5895343,2832762726.262896,0.6910930415114812,Yes,9223372037288820930,9223372038488509703,9223372037656097272,9223372038488509703,0.6236654409202782,1309.7261691176907
6313327.7212770125,2151560.598947729,1467504.80817471,0.3407965963332769,0.173363753030087,3385244286.356964,1.9643540640639952,2577979228.4100094,2897881246.2453017,0.09620718221405838,Yes,9223372037519191625,9223372038363085804,9223372038363085804,9223372040253332418,0.8573242217315701,830.6619821394174
14806701.13130001,4506175.060235466,1810897.2128008658,0.3043334919963924,0.09376631397836811,12672485999.441994,0.0823520453738687,2581773156.723788,4343979898.2654505,3.6309382630472693,No,9223372036851035156,9223372038940028304,9223372038541864746,9223372038940028304,0.6056516983660996,1020.5191146038748
6848271.04480887,3656139.8175725015,3441208.8160727094,0.5338777910000992,0.32759655549997974,4982736766.968264,1.2643217510789777,2583329403.9331784,4146759400.845118,0.28456445123302004,No,9223372038321534325,9223372039634449758,9223372038705712122,9223372039634449758,0.9002420971389272,694.3674562785371
34865219.08454175,5841591.808907301,32160483.674848206,0.16754783025290945,0.7900516638119591,2852353754.6703086,2.3324586430326497,2592986869.5360794,2815322919.6358566,11.720099203308209,Yes,9223372036525335748,9223372037247363879,9223372037247363879,9223372038041212494,0.5433380520508929,636.6898207693897
19130044.91639637,6188719.274997944,51288613.55986701,0.3235078277152183,2.0257155196105376,6903612418.847019,0.7859270568645031,2601122404.8282323,6073711824.638741,0.022232009146825576,Yes,9223372037943596731,9223372038642250389,9223372038642250389,9223372046029668345,0.8137875681669312,801.4131680644654
42727807.225853495,18874932.760782007,41647298.81663118,0.4417482193975372,0.6760624417950633,9803271282.524916,0.3558283854033155,2602408344.780695,6870443110.000237,0.014860221927241648,Yes,9223372037431691335,9223372037735197184,9223372037735197184,9223372051475403836,0.6797035978244319,886.5573291455713
126230286.7716197,121267282.5042579,11451629.742465036,0.9606829359712931,0.046269665500028694,4697861285.112327,1.3606564097600835,2604953394.7613254,4340050592.85744,0.7502597839899822,No,9223372037864424535,9223372038230253037,9223372038230253037,9223372040741472975,0.7655899201865466,810.4741381285154
73481063.8096557,10916615.536920693,5066095.892896485,0.14856365668846247,0.06002648333602542,8432298888.020374,0.5315367505185815,2616935487.6617823,5295486641.740664,0.2725544758036069,No,9223372037091919412,9223372038470205546,9223372037603773454,9223372038470205546,0.5480439510550814,1193.818151432731
359205439.24165297,214524854.66078383,603715712.875582,0.5972205073333083,1.0522639632102888,3368765648.6747236,1.9743000315068222,2633242153.9670377,3177908063.0201015,0.7069608864021525,Yes,7887165493127122782,9223372040211903585,9223372040211903585,9223372040333784899,0.3219476908958949,2923.9113866204943
15874093.03578059,9702123.156931734,1758583.1933383418,0.6111922826118578,0.06875853644994726,13656683313.13567,0.008001025265161882,2646937742.971268,5222282269.394815,0.014506901273404003,No,9223372038615911028,9223372039603580347,9223372039603580347,9223372042549259558,0.7949648327065607,882.1913788273806
577921635.1811203,50896002.83124322,142808468.92746103,0.08806730832164199,0.22710633464237076,3723390593.1114297,1.7762396112560863,2656703097.8849077,3376599053.3553624,4.069794448396704,Yes,9223372036944163227,9223372039963868592,9223372039722314925,9223372039963868592,0.46965891662070686,1189.6674839296766
11401881.091063892,4072787.6301877527,14766782.220109724,0.35720313145343696,0.9542551434287077,6078203453.351398,0.9624217143908298,2669798932.129272,3825116018.100789,1.5565896648385267,No,9223372037448201998,9223372038591627074,9223372037408791005,9223372038591627074,0.8043502653304646,919.9008135524821
12133659.403018115,4654255.930582671,1200791.3509681355,0.3835822134108179,0.07152712693068972,11387081650.277603,0.1926719388763107,2685176017.634875,3050527082.337778,1.1563870855448122,No,9223372037363289159,9223372038774491743,9223372037952747901,9223372038774491743,0.7565502687538834,1028.6878973711976
68628413.08046658,67734241.59226348,57420884.50576723,0.9869708266872688,0.4210895178271292,10780141809.276865,0.25111254754938395,2685176017.634875,10083552715.617918,0.6919828053963129,No,9223372036960996853,9223372037786952443,9223372037786952443,9223372039438092521,0.568845882837851,985.1044116307752
23733124.78682528,13948731.593619734,4412539.858221346,0.5877326192361718,0.11709985340614036,12881303677.026613,0.06591473657717331,2693737286.4526505,4664306797.150008,0.01670305019273632,No,9223372038024726962,9223372038906724945,9223372038906724945,9223372039498819270,0.8572689269698307,787.1662652105477
23967329.2105719,2946132.1539064143,3559639.5767451986,0.12292283917086959,0.13226242171300132,11368363165.039968,0.19440749367554924,2697924047.050344,4220266935.218014,3.6497926266772085,No,9223372038174928420,9223372038819061640,9223372038819061640,9223372039876378078,0.7997092780814277,1011.8991583782097
34450605.18957598,22237400.23246137,33889515.97934249,0.6454864902979973,0.5978251611965872,2882483869.5022817,2.308706855601733,2701366014.6241198,2872300106.873665,13.333218056670026,No,1653852824322818870,9223372037454620321,9223372037454620321,9223372038470534195,0.2210439723739387,797.2200520807622
37205761.030992374,11698190.941376895,3532573.74582892,0.31441880550789725,0.07223493405655282,8295242489.541904,0.5514251234083475,2701587227.1557574,4307913072.81118,1.8123412727046349,No,9223372037655903689,9223372038995023149,9223372038995023149,9223372039239303715,0.8312351716187697,920.1044661041367
11813563.619266242,5700840.649107271,23848887.92793995,0.48256739734401655,1.3616728015696704,8036952356.721624,0.5902734611938928,2702624228.2853436,2852786413.3651853,0.05458922528464963,No,9223372036831090334,9223372038795551742,9223372036471305276,9223372038795551742,0.6554532769087467,1187.6644617347438
202973089.35670477,143709531.96583202,4305923.772954073,0.7080225877297309,0.012420362337539986,4424035882.816857,1.4624679959227098,2703799630.413508,4402178288.177612,6.330626067911861,No,9223372037632530311,9223372038321698466,9223372038231485708,9223372038321698466,0.538626374337338,1441.1408809135148
87759110.41956615,3636066.041708409,9191874.266583025,0.0414323484402337,0.10057285977753709,9723990502.814867,0.36498801181592183,2711450128.8157635,4525551149.51025,7.145640552861743,No,9223372038847880964,9223372039898086332,9223372038888437347,9223372039898086332,0.6655425065763227,1089.6842792889704
376878615.87734884,274814335.36850554,8592449.893740447,0.7291852702461128,0.013184813304047695,4684313819.473976,1.3654691084482715,2733896520.0630336,3554708737.370488,0.007888949235685139,Yes,9223372037658343016,9223372038075829144,9223372038075829144,9223372040407644332,0.8180767205820649,756.0661457015973
131267354.47727713,24775822.95698969,3804353.881141963,0.18874321841595793,0.024380135957847604,5949363294.192919,0.9933522785082588,2736088504.9583387,3241806457.209647,1.385275889985217,Yes,9223372037879888584,9223372038059378106,9223372038059378106,9223372039056188270,0.5543510973383288,1682.9228939875907
66816675.85199248,5778540.374040405,5593978.998081031,0.08648350580685299,0.07705712977923485,7255464159.981244,0.7202387381706331,2741112502.536881,3694150443.3808703,0.12228095224210753,Yes,9223372037313830055,9223372037587419437,9223372037587419437,9223372039630718770,0.2513076984370782,1333.3738217962793
221011525.60459897,61809367.073295146,723124876.3550658,0.27966580884960407,2.5568297642658093,4363847350.646773,1.4862096413532702,2741181912.811074,4286958586.081658,2.5525159533973154,Yes,9223372036844843416,9223372038062326446,9223372038062326446,9223372042969871430,0.4230983274575255,1703.7600217067386
8495155.346215436,1661574.6115729827,7652032.972213394,0.1955908448823374,0.7533953353112076,5104430053.783338,1.2257929167813566,2743347759.768695,2825718851.2518206,1.0142495273142553,No,9223372036966929128,9223372038110944955,9223372037425303566,9223372038110944955,0.8482313475185371,1041.420826766679
86389654.9949086,31762495.183049217,39872115.43633527,0.3676654940330662,0.337464154281415,5058557250.924668,1.2401438476367121,2760482983.359543,4801450170.513659,0.2726021748388616,No,9223372037066611674,9223372038517258271,9223372038517258271,9223372040378428196,0.3075130834905347,1320.0681584360077
23172093.314641554,10657071.257883418,29261202.091334756,0.45990973336662794,0.8649696928992394,4668925932.449628,1.3709626236297818,2760775079.424185,4664401254.944708,4.883364516302997,No,8462675048948672325,9223372036543407693,9223372036543407693,9223372037037333323,0.5830892499180794,927.3767437441204
33479873.1616177,5470356.785166252,30951041.48222519,0.16339239873338673,0.7946305201410181,4573350481.798594,1.4057422448958066,2760928085.518325,4293667357.1741276,2.571399326464197,No,9223372037410268045,9223372038083094619,9223372038083094619,9223372039460578672,0.5283851097944304,1020.1630181074747
